Coordinates of the tracks of the projections of the Perm Anomaly plume's center on the surface of western Eurasia based on three GPM models 
(see Fig. 3 of the main text) 
1. Model  by Matthews et al. (2016)
Age   Latitude   Longitude
  0           51.0   52.0   
 10          51.8   52.5   
 20          52.7   53.4   
 30          52.9   53.7   
 40          52.5   53.9   
 50          51.6   53.8   
 60          50.8   53.9   
 70          52.2   55.1   
 80          53.3   55.3   
 90          54.2   56.2   
 100         54.2   56.9   
 110         53.5   51.7   
 120         61.5   47.8   
 130         56.0   50.4   
 140         58.0   49.7   
 150         57.1   50.1   
 160         57.1   48.4   
 170         58.7   48.8   
 180         57.2   39.3   
 190         56.2   36.4   
 200         56.0   42.9   
 210         53.4   52.1  
 220         50.0   62.5   
 230         47.7   68.8  
 240         50.9   68.6   
 250         54.5   67.7  
 260         53.9   69.2   
2. Model  by Müller et al. (2016)
Age   Latitude   Longitude
0	51	52
10	51.8	52.5
20	52.7	53.4
30	52.9          53.7
40	52.5          53.9
50	51.6          53.8
60	50.8          53.9
70	52.2          55.1
80	53.1          57.3
90	53.6          59.9
100	53             61.7
110	53             61
120	52.8          58.5
130	53.1          61.4
140	54.6          66.1
150	51.4          66.4
160	49.6	62.6
170	51.7	56
180	51.7	57
190	46.2	57.2
200	44.5	63.5
3. Model  by Seton et al. (2012)
Age   Latitude   Longitude
0            51             52
10          50.7          54.5
20          50.8          57.1
30          50.6          58.6
40          50            58.7
50          50.1          60.6
60          52.3          56.8
70          52.1          55.3
80          51.9          54
90          50.6          52.1
100          51.1          51.4
110          55.1          52.1
120          56.1          50.3
130          56.9          54
140          59.5          58.8
150          57          59.7
160          59.1          59.1
170          59.7          56.6
180          57.5          50.3
190          50.3          50.5
200          50.4          60.3
