Longitude	Latutude	Number

Pre-Uralian foredeep

56.69	59.51	1
56.90	58.79	2
56.22	58.50	3
57.02	57.78	4
55.97	57.61	5
57.34	57.05	6
56.80	57.01	7
55.76	56.59	8
55.11	56.22	9
56.38	56.03	10
56.30	56.20	11
55.54	55.05	12
55.25	54.64	13
56.12	54.51	14
54.61	54.04	15

Timan-Pechora

50.72	68.22	1
53.33	67.93  	2
54.05	68.02 	3
53.87   	68.23  	4
54.45   	68.12  	5
54.53   	68.28  	6
55.47  	68.22  	7
55.87   	68.42  	8
56.53   	68.50  	9
56.95   	68.53  	10
57.60   	68.43  	11
58.73   	68.53  	12
60.00   	68.63  	13
60.28   	68.43  	14
63.27   	68.13  	15
50.58   	66.82  	16
51.60   	66.67  	17
52.13   	66.85  	18
54.37   	66.63  	19
54.88   	66.87  	20
55.00   	66.72  	21
55.92   	66.88  	22
56.78   	67.17  	23
56.97   	66.67  	24
57.60	67.05  	25
58.87   	66.82  	26
61.47   	67.02  	27
51.37   	65.48  	28
52.30   	65.47  	29
52.80   	65.55  	30
53.47   	65.30  	31
53.98   	65.07  	32
54.75   	65.73  	33
55.42   	65.23  	34
55.72   	65.02  	35
56.92   	64.88  	36
57.43   	64.67 	37

Moscow Basin

39.54	58.33	1
39.51	57.18	2
39.07	58.30	3
40.42	58.21	4
41.31	58.29	5
41 53	50.26	6
38.58	55.48	7
42.21	58.23	8
42.17	59.05	9
39.73	59.63	10
44.15	59.46	11
45.02	59.05	12
46.18	60.46	13
47.43	56.07	14
47.35	56.10	15
48.32	58.31	16
43.32	56.28	17
44.00	56.19	18
